tempo (s),entrada (V),saida (V)
0.005357980728149414,0.0,0.11
0.005894660949707031,0.0,0.2
0.0063474178314208984,0.0,0.29
0.0068471431732177734,0.0,0.37
0.062462568283081055,0.0,0.44
0.1648085117340088,0.0,0.5
0.2630906105041504,0.0,0.56
0.3655421733856201,0.0,0.61
0.4680187702178955,0.0,0.66
0.5662417411804199,0.0,0.7
0.6686315536499023,0.0,0.74
0.7712535858154297,0.0,0.77
0.8692841529846191,0.0,0.8
0.9717864990234375,0.0,0.83
1.0739953517913818,0.0,0.85
1.1724646091461182,0.0,0.88
1.274841070175171,0.0,0.9
1.3771193027496338,0.0,0.91
1.4755170345306396,0.0,0.93
1.577920913696289,0.0,0.95
1.6802246570587158,0.0,0.96
1.7787837982177734,0.0,0.97
1.8810038566589355,0.0,0.98
1.983314037322998,0.0,0.99
2.081724166870117,0.0,1.0
2.1840498447418213,0.0,1.01
2.2864036560058594,0.0,1.01
2.3847596645355225,0.0,1.02
2.4871416091918945,0.0,1.03
2.589522361755371,0.0,1.03
2.687816858291626,0.0,1.04
2.790220260620117,0.0,1.04
2.8926033973693848,0.0,1.04
2.9909777641296387,0.0,1.05
3.093362331390381,0.0,1.05
3.195669174194336,0.0,1.05
3.2940115928649902,0.0,1.05
3.3964107036590576,0.0,1.06
3.4948806762695312,0.0,1.06
3.5970685482025146,0.0,1.06
3.6994500160217285,0.0,1.06
3.7978439331054688,0.0,1.06
3.9002246856689453,0.0,1.07
4.00258994102478,0.0,1.07
4.101073980331421,0.0,1.07
4.203309059143066,0.0,1.07
4.305646181106567,0.0,1.07
4.404024600982666,0.0,1.07
4.506410598754883,0.0,1.07
4.608726501464844,0.0,1.07
4.707165718078613,0.0,1.07
4.809489727020264,0.0,1.07
4.911829710006714,0.0,1.07
5.0102221965789795,0.0,1.07
5.112536430358887,0.0,1.07
5.214925527572632,0.0,1.07
5.313287258148193,0.0,1.08
5.415745973587036,0.0,1.08
5.51798415184021,0.0,1.08
5.616369962692261,0.0,1.08
5.718754053115845,0.0,1.08
5.821123838424683,0.0,1.08
5.919449329376221,0.0,1.08
6.02184796333313,0.0,1.08
6.124167442321777,0.0,1.08
6.22255802154541,0.0,1.08
6.325012683868408,0.0,1.08
6.427263498306274,0.0,1.08
6.525744438171387,0.0,1.08
6.628112554550171,0.0,1.08
6.726388692855835,0.0,1.08
6.82872200012207,0.0,1.08
6.931211471557617,0.0,1.08
7.029469966888428,0.0,1.08
7.1318199634552,0.0,1.08
7.234175443649292,0.0,1.08
7.33257532119751,0.0,1.08
7.434945583343506,0.0,1.08
7.537252187728882,0.0,1.08
7.635686635971069,0.0,1.08
7.738112449645996,0.0,1.08
7.840390205383301,0.0,1.08
7.938809871673584,0.0,1.08
8.04120683670044,0.0,1.08
8.143418312072754,0.0,1.08
8.241883993148804,0.0,1.08
8.344252109527588,0.0,1.08
8.446523904800415,0.0,1.08
8.544915914535522,0.0,1.08
8.6472647190094,0.0,1.08
8.749614000320435,0.0,1.08
8.848205804824829,0.0,1.08
8.950315237045288,0.0,1.08
9.052716970443726,0.0,1.08
9.151103258132935,0.0,1.08
9.253438949584961,0.0,1.08
9.35584306716919,0.0,1.08
9.454137802124023,0.0,1.08
9.556490182876587,0.0,1.08
9.658904552459717,0.0,1.08
9.757317066192627,0.5,1.08
9.859613180160522,0.5,1.08
9.961937189102173,0.5,1.1
10.060449361801147,0.5,1.1
10.1627037525177,0.5,1.09
10.261029958724976,0.5,1.09
10.363494634628296,0.5,1.09
10.465815544128418,0.5,1.1
10.564181804656982,0.5,1.1
10.666612386703491,0.5,1.12
10.768875122070312,0.5,1.12
10.867191076278687,0.5,1.12
10.96966814994812,0.5,1.11
11.071996212005615,0.5,1.11
11.170315265655518,0.5,1.11
11.272698879241943,0.5,1.11
11.375143766403198,0.5,1.11
11.473395109176636,0.5,1.11
11.575764417648315,0.5,1.13
11.678120136260986,0.5,1.13
11.776541948318481,0.5,1.12
11.878862380981445,0.5,1.11
11.981181383132935,0.5,1.11
12.079591751098633,0.5,1.11
12.182028532028198,0.5,1.11
12.284316301345825,0.5,1.11
12.38281512260437,0.5,1.11
12.485046863555908,0.5,1.13
12.587378740310669,0.5,1.13
12.685771703720093,0.5,1.12
12.7881498336792,0.5,1.12
12.890481233596802,0.5,1.11
12.988816022872925,0.5,1.11
